ID::ID!!I,ImageDocumentName::Image Name,ImageSceneContainerName::Image Scene Container Name ,ImageChannelName::Image Channel Name,RegionsCount::Count!!I,RegionsArea::Area!!R,RegionsIntensityMean_Cy3-T1::Intensity Mean Value of channel 'Cy3-T1'!!R,RegionsIntensitySum1_Cy3-T1::Intensity Sum of channel 'Cy3-T1'!!R,ParentID::ID of the parent!!I
,,,,#,µm²,Gray,Gray,
119,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,9,9.656070598,350.4618321,91821,18
129,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,7,6.265389319,354.4705882,60260,19
137,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,6,7.113059639,489.6787565,94508,20
144,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,5.307153306,591.6805556,85202,21
149,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,9.950912448,1364.57037,368434,22
154,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,6.044257932,446.5487805,73234,23
159,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,4.496338217,432.442623,52758,24
162,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,1,4.017220211,1412.926606,154009,25
164,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,5.565139925,996.2516556,150434,26
167,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,2.543010959,507.3623188,35008,27
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B2,DAPI-T2,5,,,,
7,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,16,7.186770102,373.574359,72847,2
24,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,7,4.938600993,351.7089552,47129,3
32,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,8,10.02462291,511.0294118,139000,4
41,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,10,24.28759742,438.9742033,289284,5
52,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,5.086021918,1182.905797,163241,6
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B3,DAPI-T2,5,,,,
7,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,5,5.601995156,337.0460526,51231,2
13,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,10,8.402992734,378.1666667,86222,3
24,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,11,8.218716578,367.8744395,82036,4
36,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,3.022128966,406.6341463,33344,5
40,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,1,0.110565694,335,1005,6
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B3,DAPI-T2,5,,,,
7,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,4.27520683,460.362069,53402,2
10,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,12.12537109,680.7021277,223951,3
14,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,9.176952591,510.8232932,127195,4
19,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,7.039349177,659.6596859,125995,5
23,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,3.538102204,521.1875,50034,6
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B3,DAPI-T2,6,,,,
8,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,7.555322415,567.7609756,116391,2
13,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,1,5.601995156,664.9210526,101068,3
15,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,5.859981775,583.5786164,92789,4
18,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,0.331697082,328.4444444,2956,5
21,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,11,12.7150548,427.115942,147355,6
33,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,6,8.366137503,513.4581498,116555,7
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B3,DAPI-T2,19,,,,
21,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,7.186770102,533.1897436,103972,2
26,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,1,2.985273735,746.5925926,60474,3
28,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,4.754324837,513.2790698,66213,4
32,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,3.611812666,688.8367347,67506,5
35,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,1,9.692925829,572.6920152,150618,6
37,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,5.454574231,646.6756757,95708,7
40,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,9.213807823,897.46,224365,8
44,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,4.348917292,446.3728814,52672,9
49,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,8.402992734,545.3903509,124349,10
54,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,3.943509748,459.7383178,49192,11
